Cooler_cond,Valve_cond,pump_leakage,Hyd_accumulator,stable_flag,CE_median,CP_median,PS1_median,PS2_median,PS3_median,PS4_median,PS5_median,PS6_median,EPS1_median,FS1_median,FS2_median,SE_median,VS1_median,TS1_median,TS2_median,TS3_median,TS4_median
3,100,0,130,1,18.29,1.35,153.37,127.28,1.95,0,8.8,8.73,2367.6,7.74,9.57,69.62,0.63,49.36,53.86,50.75,45.51
3,100,0,130,1,18.7,1.39,153.35,127.29,1.98,0,8.79,8.72,2367.8,7.74,9.55,69.51,0.62,49.59,54.08,50.93,45.53
3,100,0,130,1,18.25,1.36,153.18,127.23,1.98,0,8.78,8.71,2363.6,7.74,9.54,69.61,0.63,49.74,54.21,51.03,45.77
3,100,0,130,1,18.44,1.37,153.1,127.19,1.99,0,8.78,8.71,2361.6,7.75,9.53,69.83,0.63,49.88,54.38,51.15,45.79
3,100,0,130,1,18.55,1.39,153.1,126.92,1.99,0,8.77,8.7,2361.4,7.75,9.52,69.63,0.63,50,54.53,51.36,45.96
3,100,0,130,1,18.42,1.38,153.02,126.88,1.99,0,8.76,8.7,2359.8,7.75,9.5,69.58,0.62,50.13,54.62,51.51,46.09
3,100,0,130,1,18.74,1.4,153.13,127.03,1.99,0,8.76,8.69,2359.8,7.75,9.49,69.77,0.63,50.22,54.72,51.57,46.1
3,100,0,130,1,18.74,1.41,152.99,126.9,1.99,0,8.75,8.69,2359,7.75,9.49,69.76,0.63,50.37,54.87,51.76,46.22
3,100,0,130,1,18.67,1.41,152.94,126.76,1.99,0,8.74,8.68,2357,7.74,9.47,69.68,0.64,50.44,54.99,51.85,46.37
3,100,0,130,1,18.88,1.42,152.91,126.75,1.98,0,8.74,8.68,2355.8,7.74,9.47,69.65,0.62,50.57,55.12,51.95,46.38
3,100,0,130,1,18.79,1.42,152.91,126.77,1.98,0,8.74,8.68,2357.2,7.75,9.46,69.5,0.62,50.63,55.23,52.03,46.47
3,100,0,130,1,18.79,1.42,152.89,126.76,1.97,0,8.74,8.68,2358,7.74,9.45,69.61,0.62,50.75,55.31,52.12,46.59
3,100,0,130,1,18.9,1.44,152.98,126.86,1.98,0,8.73,8.67,2359.6,7.75,9.44,69.65,0.64,50.81,55.39,52.28,46.63
3,100,0,130,1,19.23,1.47,152.88,126.69,1.99,0,8.74,8.68,2355.8,7.75,9.44,69.7,0.63,50.88,55.48,52.3,46.59
3,100,0,130,1,19.7,1.5,152.94,126.76,1.99,0,8.74,8.68,2360.4,7.75,9.44,69.71,0.62,50.98,55.55,52.45,46.47
3,100,0,130,1,19.01,1.46,152.76,126.66,1.99,0,8.73,8.67,2356,7.75,9.43,69.64,0.63,51.03,55.62,52.46,46.79
3,100,0,130,1,18.98,1.46,152.79,126.92,1.98,0,8.72,8.66,2357.4,7.75,9.42,69.33,0.62,51.13,55.72,52.54,46.82
3,100,0,130,1,19.27,1.48,152.76,127.03,1.99,0,8.73,8.67,2354.4,7.75,9.42,69.4,0.63,51.14,55.72,52.65,46.8
3,100,0,130,1,19.21,1.48,152.73,127.05,1.99,0,8.72,8.66,2353.6,7.75,9.41,69.61,0.63,51.29,55.8,52.71,46.88
3,100,0,130,1,19.42,1.49,152.72,127.03,1.99,0,8.72,8.66,2355.6,7.75,9.41,69.47,0.63,51.28,55.86,52.78,46.87
3,100,0,130,1,19.44,1.5,152.7,127,1.98,0,8.72,8.66,2358,7.76,9.4,69.52,0.64,51.34,55.92,52.86,46.95
3,100,0,130,1,19.6,1.51,152.68,126.95,1.98,0,8.71,8.65,2351.8,7.76,9.4,69.79,0.62,51.42,55.99,52.87,46.92
3,100,0,130,1,19.48,1.51,152.69,127.03,1.97,0,8.71,8.65,2353.4,7.76,9.4,69.75,0.62,51.46,56.06,52.94,47.02
3,100,0,130,1,19.65,1.52,152.73,127.06,1.97,0,8.7,8.65,2351.8,7.76,9.39,69.82,0.62,51.52,56.14,53.02,47.03
3,100,0,130,1,19.8,1.53,152.79,127.09,1.97,0,8.7,8.64,2353,7.76,9.39,69.76,0.63,51.56,56.22,53.04,47.01
3,100,0,130,1,19.61,1.51,152.72,126.98,1.98,0,8.7,8.64,2351.6,7.76,9.38,69.81,0.63,51.65,56.23,53.1,47.18
3,100,0,130,1,19.5,1.51,152.7,127.01,1.97,0,8.7,8.64,2352,7.76,9.38,69.79,0.62,51.7,56.25,53.12,47.18
3,100,0,130,1,19.7,1.52,152.68,126.98,1.98,0,8.7,8.64,2351.8,7.76,9.38,69.69,0.62,51.72,56.33,53.12,47.1
3,100,0,130,1,19.87,1.54,152.81,127.11,1.99,0,8.7,8.64,2353.6,7.76,9.37,69.79,0.62,51.79,56.4,53.21,47.12
3,100,0,130,1,19.58,1.51,152.7,126.98,1.99,0,8.7,8.64,2351.2,7.76,9.37,69.77,0.62,51.79,56.42,53.28,47.29
3,100,0,130,1,19.44,1.51,152.66,126.98,1.99,0,8.69,8.63,2349.2,7.76,9.36,69.85,0.62,51.85,56.48,53.33,47.37
3,100,0,130,1,19.52,1.51,152.65,126.96,1.99,0,8.69,8.63,2347.6,7.76,9.35,69.82,0.63,51.88,56.5,53.32,47.37
3,100,0,130,1,20.15,1.56,152.65,126.92,1.98,0,8.69,8.63,2346,7.75,9.35,69.9,0.63,51.89,56.51,53.38,47.2
3,100,0,130,1,19.68,1.53,152.65,126.98,1.98,0,8.69,8.63,2347.8,7.75,9.35,69.84,0.63,51.96,56.58,53.38,47.36
3,100,0,130,1,19.75,1.53,152.62,126.93,1.98,0,8.69,8.63,2347.6,7.76,9.34,69.88,0.62,51.98,56.66,53.46,47.36
3,100,0,130,1,20.07,1.56,152.59,126.98,1.97,0,8.69,8.63,2347.6,7.75,9.34,69.82,0.62,51.98,56.66,53.47,47.28
3,100,0,130,1,20.16,1.56,152.56,126.93,1.99,0,8.68,8.62,2347.6,7.75,9.34,69.83,0.62,51.98,56.68,53.52,47.29
3,100,0,130,1,20.11,1.57,152.49,126.9,1.99,0,8.68,8.62,2344,7.75,9.34,69.93,0.63,52.06,56.73,53.51,47.29
3,100,0,130,1,20.31,1.58,152.53,126.96,1.99,0,8.68,8.62,2344.4,7.75,9.33,69.91,0.63,52.07,56.73,53.54,47.28
3,100,0,130,1,20.49,1.59,152.54,126.94,1.98,0,8.68,8.62,2345.6,7.75,9.33,69.9,0.63,52.05,56.74,53.55,47.21
3,100,0,130,1,19.47,1.52,152.52,126.93,1.98,0,8.68,8.62,2345.6,7.76,9.33,69.84,0.63,52.07,56.75,53.63,47.53
3,100,0,130,1,19.65,1.53,152.48,126.88,1.98,0,8.68,8.62,2345.6,7.76,9.34,69.89,0.62,52.12,56.76,53.55,47.49
3,100,0,130,1,19.99,1.56,152.53,126.88,1.98,0,8.68,8.62,2345.6,7.76,9.34,69.9,0.63,52.14,56.78,53.63,47.49
3,100,0,130,1,20.19,1.57,152.52,126.94,1.98,0,8.68,8.62,2345.2,7.75,9.33,69.8,0.62,52.23,56.86,53.64,47.45
3,100,0,130,1,19.58,1.52,152.46,126.89,1.99,0,8.68,8.62,2343.6,7.75,9.33,69.88,0.63,52.29,56.86,53.7,47.69
3,100,0,130,1,19.54,1.5,152.48,126.88,1.98,0,8.67,8.61,2341.8,7.75,9.33,69.97,0.63,52.27,56.88,53.73,47.77
3,100,0,130,1,19.67,1.49,152.42,126.78,1.98,0,8.67,8.61,2345.4,7.75,9.33,69.82,0.63,52.36,56.92,53.8,47.92
3,100,0,130,1,19.86,1.49,152.4,126.78,1.98,0,8.67,8.61,2344,7.75,9.33,69.8,0.63,52.41,56.94,53.8,47.88
3,100,0,130,1,21.03,1.58,152.44,126.85,1.99,0,8.66,8.6,2344,7.75,9.32,69.91,0.63,52.49,56.99,53.97,47.7
3,100,0,130,1,20.18,1.52,152.43,126.77,2,0,8.66,8.6,2345.4,7.75,9.32,69.84,0.63,52.5,57,53.98,47.95
3,100,0,130,1,20.09,1.51,152.41,126.77,2,0,8.66,8.6,2344.6,7.75,9.32,69.84,0.63,52.56,57.01,54.05,48.02
3,100,0,130,1,20.59,1.55,152.4,126.77,1.98,0,8.65,8.6,2341.6,7.75,9.31,69.85,0.64,52.65,57.1,54.13,47.99
3,100,0,130,1,20.68,1.55,152.4,126.72,1.99,0,8.65,8.59,2343.2,7.75,9.31,69.77,0.63,52.69,57.16,54.17,48.02
3,100,0,130,1,20.86,1.57,152.34,126.73,1.98,0,8.65,8.59,2341.8,7.75,9.31,69.76,0.64,52.77,57.24,54.22,48
3,100,0,130,1,20.72,1.56,152.37,126.69,1.97,0,8.64,8.59,2342,7.75,9.31,69.77,0.62,52.74,57.24,54.28,48.03
3,100,0,130,1,20.32,1.52,152.38,126.77,1.97,0,8.64,8.59,2342.8,7.74,9.3,69.68,0.64,52.84,57.26,54.29,48.26
3,100,0,130,1,20.82,1.56,152.38,126.76,1.97,0,8.64,8.59,2343.3,7.74,9.3,69.72,0.63,52.83,57.28,54.37,48.16
3,100,0,130,1,20.95,1.56,152.38,126.73,1.95,0,8.64,8.58,2343.4,7.74,9.3,69.64,0.64,52.87,57.3,54.38,48.16
3,100,0,130,1,20.68,1.55,152.38,126.73,1.98,0,8.64,8.58,2343.6,7.74,9.3,69.68,0.63,52.91,57.38,54.38,48.27
3,100,0,130,1,20.35,1.53,152.4,126.77,1.97,0,8.64,8.58,2343.4,7.74,9.29,69.67,0.63,52.96,57.41,54.43,48.32
3,100,0,130,1,20.39,1.54,152.37,126.7,1.95,0,8.64,8.58,2343.4,7.75,9.29,69.58,0.64,52.97,57.49,54.45,48.27
3,100,0,130,1,20.58,1.56,152.41,126.76,1.98,0,8.64,8.58,2345.8,7.74,9.29,69.62,0.62,52.97,57.49,54.45,48.25
3,100,0,130,1,21.09,1.6,152.38,126.75,1.98,0,8.63,8.58,2343,7.75,9.29,69.74,0.63,52.99,57.5,54.53,48.14
3,100,0,130,1,20.92,1.58,152.37,126.72,1.98,0,8.63,8.57,2346,7.75,9.29,69.64,0.64,53.05,57.51,54.55,48.19
3,100,0,130,1,20.97,1.59,152.34,126.69,1.98,0,8.63,8.57,2346.8,7.75,9.28,69.64,0.64,53.04,57.51,54.53,48.17
3,100,0,130,1,21.03,1.59,152.33,126.66,1.97,0,8.63,8.57,2346,7.75,9.28,69.59,0.64,53.15,57.55,54.59,48.21
3,100,0,130,1,20.82,1.58,152.35,126.72,1.97,0,8.63,8.57,2348,7.75,9.28,69.61,0.63,53.12,57.53,54.62,48.34
3,100,0,130,1,21.08,1.59,152.32,126.67,1.98,0,8.63,8.57,2348.2,7.75,9.28,69.6,0.64,53.15,57.57,54.62,48.27
3,100,0,130,1,20.74,1.56,152.32,126.64,1.97,0,8.63,8.57,2350,7.75,9.29,69.6,0.63,53.18,57.57,54.7,48.43
3,100,0,130,1,21.71,1.62,152.33,126.67,1.98,0,8.63,8.57,2349.8,7.75,9.29,69.56,0.63,53.23,57.59,54.64,48.19
3,100,0,130,1,20.72,1.55,152.3,126.65,1.98,0,8.62,8.57,2349.8,7.75,9.28,69.47,0.62,53.24,57.65,54.72,48.51
3,100,0,130,1,20.01,1.52,152.32,126.64,1.97,0,8.63,8.57,2346,7.75,9.28,69.52,0.63,53.23,57.72,54.7,48.61
3,100,0,130,1,19.77,1.51,152.32,126.65,1.98,0,8.62,8.56,2346.4,7.74,9.27,69.57,0.63,53.3,57.76,54.73,48.68
3,100,0,130,1,19.8,1.51,152.27,126.63,1.98,0,8.62,8.56,2343.8,7.75,9.28,69.7,0.64,53.26,57.76,54.77,48.74
3,100,0,130,1,19.64,1.5,152.27,126.63,1.99,0,8.62,8.56,2341.4,7.74,9.27,69.61,0.64,53.38,57.76,54.74,48.76
3,100,0,130,1,19.62,1.51,152.27,126.61,1.99,0,8.61,8.55,2340.2,7.74,9.26,69.65,0.64,53.31,57.79,54.79,48.77
3,100,0,130,1,19.65,1.52,152.25,126.59,1.99,0,8.61,8.55,2340,7.73,9.26,69.66,0.63,53.38,57.83,54.89,48.81
3,100,0,130,1,19.89,1.53,152.25,126.53,2,0,8.61,8.55,2339.8,7.74,9.26,69.79,0.64,53.39,57.84,54.89,48.77
3,100,0,130,1,19.78,1.52,152.27,126.57,2,0,8.61,8.55,2340,7.74,9.26,69.73,0.63,53.4,57.81,54.87,48.76
3,100,0,130,1,19.71,1.51,152.23,126.54,1.98,0,8.61,8.55,2339,7.74,9.26,69.78,0.64,53.4,57.88,54.81,48.8
3,100,0,130,1,19.77,1.52,152.19,126.53,1.99,0,8.61,8.55,2338,7.74,9.26,69.75,0.65,53.41,57.9,54.89,48.85
3,100,0,130,1,19.77,1.5,152.18,126.47,1.99,0,8.6,8.54,2337.6,7.74,9.25,69.82,0.63,53.41,57.91,54.89,48.86
3,100,0,130,1,20.36,1.54,152.18,126.53,1.99,0,8.6,8.54,2337.4,7.74,9.25,69.8,0.64,53.48,57.95,54.89,48.77
3,100,0,130,1,19.89,1.51,152.14,126.44,1.98,0,8.6,8.54,2337.6,7.73,9.25,69.65,0.64,53.53,57.98,54.97,48.93
3,100,0,130,1,20.29,1.53,152.22,126.56,1.98,0,8.6,8.54,2339.8,7.74,9.25,69.65,0.64,53.57,58.01,54.97,48.85
3,100,0,130,1,19.99,1.52,152.19,126.55,1.99,0,8.6,8.54,2339.6,7.74,9.25,69.62,0.64,53.58,58.01,55.01,48.93
3,100,0,130,1,19.69,1.5,152.19,126.51,1.98,0,8.6,8.54,2341.6,7.74,9.24,69.53,0.64,53.6,58.02,55.04,49.01
3,100,0,130,1,19.85,1.51,152.24,126.59,1.98,0,8.6,8.54,2342,7.74,9.24,69.59,0.64,53.58,58.03,55.06,49.01
3,100,0,130,1,19.92,1.52,152.08,126.45,1.98,0,8.6,8.54,2340.8,7.74,9.25,69.61,0.64,53.64,58.07,55.07,49.02
3,100,0,130,1,20.31,1.54,152.13,126.46,1.99,0,8.6,8.54,2341.6,7.73,9.25,69.61,0.64,53.64,58.08,55.07,48.94
3,100,0,130,1,20.17,1.53,152.11,126.47,1.99,0,8.59,8.53,2341.8,7.73,9.24,69.55,0.63,53.65,58.1,55.14,49.03
3,100,0,130,1,20.24,1.53,152.13,126.49,1.98,0,8.59,8.53,2339.8,7.74,9.24,69.55,0.64,53.66,58.11,55.15,49.02
3,100,0,130,1,20.06,1.52,152.03,126.36,1.98,0,8.59,8.53,2337.4,7.73,9.24,69.75,0.64,53.75,58.14,55.15,49.1
3,100,0,130,1,19.99,1.52,152.05,126.35,1.97,0,8.59,8.53,2337.8,7.73,9.23,69.74,0.64,53.7,58.16,55.22,49.1
3,100,0,130,1,19.85,1.52,152.1,126.41,1.99,0,8.59,8.53,2337.4,7.73,9.23,69.64,0.64,53.74,58.24,55.22,49.08
3,100,0,130,1,19.83,1.53,152.09,126.31,1.99,0,8.59,8.53,2336.2,7.73,9.23,69.61,0.64,53.71,58.26,55.23,49.08
3,100,0,130,1,19.79,1.52,152.13,126.41,1.99,0,8.59,8.53,2337.6,7.73,9.23,69.61,0.64,53.7,58.25,55.23,49.1
3,100,0,130,1,19.68,1.52,152.02,126.31,2,0,8.58,8.52,2337.6,7.72,9.23,69.62,0.63,53.71,58.26,55.23,49.1
3,100,0,130,1,19.6,1.52,152.02,126.34,1.99,0,8.58,8.52,2334,7.73,9.23,69.73,0.64,53.75,58.28,55.23,49.11
3,100,0,130,1,19.6,1.52,152.05,126.35,1.99,0,8.59,8.53,2335.6,7.73,9.23,69.7,0.63,53.78,58.28,55.23,49.11
3,100,0,130,1,19.61,1.52,152.06,126.31,1.99,0,8.58,8.52,2335.2,7.73,9.23,69.75,0.63,53.79,58.29,55.23,49.1
3,100,0,130,1,19.81,1.54,152.08,126.33,2,0,8.58,8.52,2336,7.73,9.23,69.68,0.64,53.75,58.29,55.24,49.09
3,100,0,130,1,19.55,1.52,152.37,126.74,1.99,0,8.58,8.52,2341.6,7.73,9.23,69.69,0.64,53.75,58.29,55.27,49.18
3,100,0,130,1,19.57,1.52,152.13,126.48,2,0,8.58,8.52,2335.8,7.73,9.23,69.68,0.64,53.82,58.28,55.32,49.18
3,100,0,130,1,19.56,1.52,152.16,126.49,2.01,0,8.59,8.53,2337,7.73,9.23,69.65,0.65,53.83,58.29,55.24,49.18
3,100,0,130,1,19.37,1.51,152.09,126.43,2.01,0,8.58,8.53,2335.8,7.73,9.23,69.67,0.65,53.83,58.33,55.24,49.19
3,100,0,130,1,19.58,1.52,152.09,126.44,2,0,8.58,8.52,2334.8,7.73,9.23,69.67,0.64,53.83,58.35,55.24,49.19
3,100,0,130,1,19.7,1.53,152.07,126.41,2,0,8.58,8.52,2335.6,7.74,9.22,69.68,0.64,53.83,58.36,55.31,49.18
3,100,0,130,1,19.65,1.53,152.02,126.31,1.99,0,8.58,8.52,2335.8,7.74,9.23,69.63,0.64,53.83,58.34,55.31,49.18
3,100,0,130,1,19.48,1.52,152.03,126.36,1.99,0,8.58,8.52,2336.4,7.73,9.23,69.74,0.64,53.83,58.36,55.31,49.18
3,100,0,130,1,19.81,1.54,152.07,126.36,2,0,8.58,8.52,2336,7.74,9.22,69.73,0.63,53.83,58.36,55.4,49.19
3,100,0,130,1,19.68,1.54,152.02,126.29,2,0,8.58,8.52,2335.8,7.73,9.23,69.66,0.64,53.83,58.39,55.4,49.2
3,100,0,130,1,19.62,1.53,152.14,126.47,1.99,0,8.58,8.52,2335.8,7.73,9.22,69.82,0.64,53.88,58.4,55.32,49.2
3,100,0,130,1,19.59,1.53,152.13,126.47,2,0,8.58,8.52,2337.6,7.73,9.22,69.64,0.64,53.9,58.44,55.37,49.21
3,100,0,130,1,19.62,1.53,152.1,126.41,2,0,8.58,8.52,2337.6,7.73,9.22,69.71,0.63,53.84,58.42,55.39,49.21
3,100,0,130,1,19.59,1.53,152.09,126.36,1.99,0,8.58,8.52,2337.8,7.73,9.23,69.59,0.64,53.91,58.43,55.32,49.22
3,100,0,130,1,19.65,1.54,152.08,126.34,2,0,8.57,8.52,2335.4,7.73,9.22,69.64,0.64,53.91,58.45,55.39,49.22
3,100,0,130,1,19.65,1.54,152.06,126.35,1.99,0,8.57,8.52,2335.6,7.73,9.22,69.64,0.64,53.91,58.45,55.39,49.21
3,100,0,130,1,19.72,1.54,152.14,126.5,1.97,0,8.57,8.52,2337.8,7.73,9.22,69.73,0.64,53.91,58.51,55.4,49.2
3,100,0,130,1,19.79,1.55,152,126.34,1.99,0,8.57,8.52,2333.8,7.73,9.22,69.65,0.64,53.91,58.5,55.39,49.19
3,100,0,130,1,19.52,1.53,152.05,126.34,1.99,0,8.57,8.52,2334.2,7.73,9.22,69.73,0.65,53.91,58.52,55.39,49.22
3,100,0,130,1,19.72,1.54,152.01,126.31,2,0,8.57,8.51,2333.8,7.73,9.22,69.77,0.66,53.91,58.51,55.45,49.25
3,100,0,130,1,19.64,1.53,151.99,126.31,2,0,8.57,8.51,2333.6,7.73,9.22,69.65,0.64,53.94,58.52,55.45,49.27
3,100,0,130,1,19.76,1.54,152.02,126.29,1.99,0,8.57,8.51,2333.8,7.74,9.22,69.82,0.64,54,58.53,55.44,49.23
3,100,0,130,1,19.76,1.55,152.03,126.34,1.99,0,8.57,8.51,2336,7.74,9.22,69.59,0.65,53.95,58.52,55.47,49.27
3,100,0,130,1,19.64,1.53,152,126.3,2,0,8.57,8.51,2332.4,7.73,9.22,69.76,0.64,53.92,58.51,55.47,49.28
3,100,0,130,1,19.75,1.54,152.03,126.31,1.99,0,8.57,8.51,2335,7.74,9.22,69.72,0.65,53.95,58.52,55.44,49.24
3,100,0,130,1,19.8,1.55,152,126.26,2,0,8.57,8.51,2333.8,7.73,9.21,69.81,0.64,53.95,58.52,55.47,49.25
3,100,0,130,1,19.69,1.54,151.98,126.3,1.98,0,8.57,8.51,2334,7.73,9.21,69.73,0.64,53.91,58.52,55.48,49.27
3,100,0,130,1,19.59,1.54,151.99,126.28,1.98,0,8.57,8.51,2334.6,7.73,9.22,69.61,0.64,54,58.52,55.48,49.35
3,100,0,130,1,19.8,1.55,152,126.31,1.98,0,8.57,8.51,2334,7.74,9.22,69.67,0.64,54,58.53,55.48,49.23
3,100,0,130,1,19.77,1.55,152,126.31,1.99,0,8.57,8.51,2334,7.73,9.21,69.57,0.63,54,58.52,55.47,49.27
3,100,0,130,1,19.81,1.55,151.99,126.3,1.99,0,8.56,8.51,2334,7.73,9.22,69.68,0.64,53.99,58.53,55.48,49.26
3,100,0,130,1,19.8,1.55,151.95,126.27,1.99,0,8.57,8.51,2334,7.73,9.22,69.68,0.64,54,58.53,55.48,49.27
3,100,0,130,1,19.66,1.54,151.99,126.31,1.99,0,8.56,8.5,2334,7.73,9.21,69.71,0.64,53.99,58.53,55.5,49.28
3,100,0,130,1,19.89,1.56,152.08,126.38,2,0,8.56,8.5,2335.6,7.73,9.22,69.63,0.63,54.07,58.54,55.48,49.25
3,100,0,130,1,19.87,1.56,152.1,126.41,2,0,8.56,8.5,2335.8,7.73,9.21,69.7,0.64,53.99,58.56,55.48,49.22
3,100,0,130,1,20.09,1.58,152.07,126.36,2,0,8.56,8.5,2335.4,7.73,9.22,69.69,0.65,53.98,58.55,55.56,49.22
3,100,0,130,1,19.93,1.56,152.16,126.47,1.99,0,8.56,8.5,2335.4,7.72,9.21,69.72,0.64,54.04,58.59,55.48,49.23
3,100,0,130,1,19.95,1.56,152.14,126.44,2,0,8.56,8.5,2335.6,7.72,9.21,69.54,0.64,54.05,58.6,55.57,49.27
3,100,0,130,1,19.58,1.53,152.13,126.41,2,0,8.56,8.5,2334.4,7.72,9.21,69.6,0.64,54.06,58.6,55.57,49.35
3,100,0,130,1,19.95,1.56,152.07,126.35,2,0,8.56,8.5,2331.8,7.72,9.21,69.7,0.64,54.07,58.59,55.5,49.27
3,100,0,130,1,20.05,1.57,152.19,126.48,2,0,8.56,8.5,2335.6,7.73,9.21,69.82,0.65,54.06,58.62,55.57,49.26
3,100,0,130,1,19.91,1.56,152.19,126.48,2,0,8.56,8.5,2335.8,7.73,9.22,69.6,0.64,54.07,58.6,55.58,49.34
3,100,0,130,1,19.89,1.55,152.18,126.43,2,0,8.56,8.5,2334.6,7.72,9.21,69.66,0.64,54.09,58.62,55.57,49.28
3,100,0,130,1,19.89,1.56,152.27,126.53,2,0,8.56,8.5,2336.4,7.72,9.21,69.55,0.65,54.07,58.62,55.58,49.27
3,100,0,130,1,19.85,1.55,152.14,126.45,1.99,0,8.56,8.5,2335,7.73,9.21,69.74,0.64,54.12,58.65,55.57,49.34
3,100,0,130,1,19.79,1.55,152.1,126.31,1.99,0,8.56,8.49,2333.6,7.73,9.21,69.56,0.65,54.12,58.66,55.65,49.35
3,100,0,130,1,19.67,1.54,152.05,126.36,1.99,0,8.56,8.49,2332.6,7.73,9.21,69.76,0.65,54.09,58.67,55.64,49.44
3,100,0,130,1,19.97,1.56,152.16,126.47,1.99,0,8.55,8.49,2332.6,7.73,9.21,69.87,0.65,54.08,58.64,55.65,49.35
3,100,0,130,1,19.79,1.55,152.13,126.44,1.98,0,8.55,8.49,2333.6,7.73,9.21,69.64,0.65,54.08,58.69,55.65,49.43
3,100,0,130,1,19.72,1.54,152.19,126.52,1.99,0,8.55,8.49,2335.8,7.73,9.21,69.76,0.64,54.16,58.7,55.64,49.45
3,100,0,130,1,19.75,1.54,152.13,126.41,1.99,0,8.55,8.49,2336,7.73,9.21,69.68,0.64,54.16,58.72,55.64,49.43
3,100,0,130,1,19.83,1.56,152.08,126.38,1.99,0,8.55,8.49,2329.6,7.73,9.2,69.92,0.65,54.16,58.72,55.66,49.36
